iter	Passed	Remaining
0	2	2334
1	4	2208
2	5	1916
3	7	1946
4	9	1955
5	11	1965
6	13	1970
7	15	1930
8	16	1863
9	18	1878
10	20	1808
11	22	1819
12	23	1808
13	25	1794
14	27	1804
15	29	1816
16	30	1778
17	32	1748
18	34	1763
19	35	1739
20	37	1751
21	39	1760
22	40	1740
23	43	1749
24	45	1756
25	47	1762
26	48	1765
27	51	1772
28	53	1774
29	54	1767
30	56	1772
31	58	1754
32	60	1766
33	62	1782
34	65	1793
35	66	1777
36	68	1780
37	70	1775
38	72	1779
39	74	1785
40	76	1797
41	79	1806
42	81	1817
43	84	1832
44	86	1840
45	88	1834
46	91	1848
47	93	1852
48	95	1845
49	97	1847
50	99	1843
51	101	1846
52	103	1857
53	105	1856
54	108	1857
55	110	1859
56	112	1859
57	114	1858
58	116	1857
59	118	1859
60	120	1860
61	122	1860
62	124	1851
63	125	1838
64	127	1838
65	129	1833
66	131	1833
67	133	1833
68	135	1823
69	137	1822
70	139	1822
71	141	1817
72	143	1817
73	145	1816
74	147	1816
75	148	1806
76	150	1800
77	152	1799
78	154	1799
79	156	1799
80	158	1799
81	160	1798
82	162	1797
83	164	1791
84	166	1791
85	168	1790
86	170	1789
87	171	1781
88	173	1774
89	175	1774
90	177	1773
91	179	1776
92	182	1775
93	183	1769
94	185	1763
95	187	1762
96	189	1761
97	191	1760
98	193	1760
99	195	1759
100	197	1758
101	199	1758
102	201	1757
103	203	1757
104	206	1756
105	207	1749
106	209	1749
107	211	1749
108	213	1747
109	215	1747
110	218	1746
111	220	1745
112	222	1744
113	224	1744
114	226	1743
115	228	1738
116	230	1737
117	232	1736
118	234	1735
119	236	1734
120	238	1733
121	240	1731
122	242	1730
123	243	1723
124	246	1722
125	247	1718
126	249	1717
127	251	1716
128	254	1715
129	256	1714
130	258	1713
131	260	1712
132	262	1710
133	264	1709
134	266	1708
135	268	1708
136	273	1721
137	276	1724
138	279	1729
139	281	1729
140	284	1730
141	286	1732
142	289	1734
143	291	1735
144	294	1737
145	296	1736
146	299	1737
147	301	1738
148	304	1737
149	306	1737
150	308	1735
151	310	1734
152	313	1732
153	315	1731
154	317	1730
155	319	1729
156	321	1725
157	324	1727
158	326	1726
